-1.792546+I*0.000000 1.158595+I*0.000000 1.785618+I*0.000000 1.874636+I*0.000000 2.512476+I*0.000000 3.141594+I*0.000000 3.921622+I*0.000000 4.517314+I*0.000000
-1.806255+I*0.000000 1.145642+I*0.000000 1.799293+I*0.000000 1.864153+I*0.000000 2.505971+I*0.000000 3.139106+I*0.000000 3.919984+I*0.000000 4.510166+I*0.000000
-1.819963+I*0.000000 1.132700+I*0.000000 1.812931+I*0.000000 1.853759+I*0.000000 2.499639+I*0.000000 3.136781+I*0.000000 3.918601+I*0.000000 4.503165+I*0.000000
-1.833671+I*0.000000 1.119810+I*0.000000 1.826385+I*0.000000 1.843678+I*0.000000 2.493317+I*0.000000 3.134630+I*0.000000 3.917492+I*0.000000 4.496303+I*0.000000
-1.847379+I*0.000000 1.106932+I*0.000000 1.832109+I*0.000000 1.841383+I*0.000000 2.487149+I*0.000000 3.132631+I*0.000000 3.916625+I*0.000000 4.489579+I*0.000000
-1.861086+I*0.000000 1.094079+I*0.000000 1.822542+I*0.000000 1.854455+I*0.000000 2.481097+I*0.000000 3.130783+I*0.000000 3.915999+I*0.000000 4.482990+I*0.000000
-1.874794+I*0.000000 1.081240+I*0.000000 1.812492+I*0.000000 1.868063+I*0.000000 2.475196+I*0.000000 3.129077+I*0.000000 3.915600+I*0.000000 4.476534+I*0.000000
-1.888501+I*0.000000 1.068448+I*0.000000 1.802504+I*0.000000 1.881728+I*0.000000 2.469316+I*0.000000 3.127520+I*0.000000 3.915444+I*0.000000 4.470201+I*0.000000
-1.902208+I*0.000000 1.055672+I*0.000000 1.792554+I*0.000000 1.895412+I*0.000000 2.463574+I*0.000000 3.126097+I*0.000000 3.915503+I*0.000000 4.463995+I*0.000000
-1.915915+I*0.000000 1.042921+I*0.000000 1.782669+I*0.000000 1.909104+I*0.000000 2.457935+I*0.000000 3.124805+I*0.000000 3.915778+I*0.000000 4.457909+I*0.000000
-1.929622+I*0.000000 1.030189+I*0.000000 1.772833+I*0.000000 1.922799+I*0.000000 2.452431+I*0.000000 3.123636+I*0.000000 3.916256+I*0.000000 4.451943+I*0.000000
-1.943329+I*0.000000 1.017497+I*0.000000 1.763105+I*0.000000 1.936497+I*0.000000 2.446956+I*0.000000 3.122598+I*0.000000 3.916949+I*0.000000 4.446089+I*0.000000
-1.957035+I*0.000000 1.004825+I*0.000000 1.753431+I*0.000000 1.950196+I*0.000000 2.441603+I*0.000000 3.121676+I*0.000000 3.917834+I*0.000000 4.440348+I*0.000000
-1.970742+I*0.000000 0.992179+I*0.000000 1.743826+I*0.000000 1.963896+I*0.000000 2.436345+I*0.000000 3.120870+I*0.000000 3.918912+I*0.000000 4.434717+I*0.000000
-1.984448+I*0.000000 0.979554+I*0.000000 1.734274+I*0.000000 1.977596+I*0.000000 2.431206+I*0.000000 3.120173+I*0.000000 3.920172+I*0.000000 4.429194+I*0.000000
-1.998154+I*0.000000 0.966966+I*0.000000 1.724821+I*0.000000 1.991296+I*0.000000 2.426102+I*0.000000 3.119589+I*0.000000 3.921622+I*0.000000 4.423773+I*0.000000
-2.011860+I*0.000000 0.954400+I*0.000000 1.715423+I*0.000000 2.004997+I*0.000000 2.421108+I*0.000000 3.119109+I*0.000000 3.923245+I*0.000000 4.418454+I*0.000000
-2.025566+I*0.000000 0.941860+I*0.000000 1.706092+I*0.000000 2.018696+I*0.000000 2.416200+I*0.000000 3.118730+I*0.000000 3.925040+I*0.000000 4.413234+I*0.000000
-2.039272+I*0.000000 0.929342+I*0.000000 1.696813+I*0.000000 2.032395+I*0.000000 2.411398+I*0.000000 3.118448+I*0.000000 3.926997+I*0.000000 4.408112+I*0.000000
